"SFM1H" "SFM2H" "SFM3H" "MEL1H" "MEL2H" "MEL3H"
"comp3852_seq0" 191 269 187 173 241 248
"comp54438_seq0" 0 0 0 0 0 0
"comp42398_seq0" 0 2 8 2 3 0
"comp29585_seq0" 3.19 0 0 4.68 4.28 2.13
"comp4288_seq1" 28.48 32.21 42.56 15 15.09 188.61
"comp15932_seq0" 45 37 20 57 99 72
"comp54460_seq0" 1 0 0 0 0 0
"comp49336_seq0" 0 0 0 0 0 2
"comp39747_seq0" 0 0 3 0 1 1
"comp11144_seq1" 69 28 44 80 75 79
"comp5202_seq2" 141.99 106.65 155.01 73.81 95.88 56.79
"comp49046_seq0" 4 0 0 0 0 0
"comp47949_seq0" 0 0 0 4 0 0
"comp36679_seq0" 4 1 5 0 3 3.6
"comp20615_seq0" 9 9 13 2 12 7
"comp39518_seq0" 0 0 0 0 4 0
"comp1907_seq3" 537.71 345.8 594.19 403.9 419.95 305.23
"comp56974_seq0" 0 0 0 0 0 0
"comp18756_seq0" 4 4 0 0 2 3
"comp35028_seq0" 0 0 3 0 1 0
"comp2500_seq1" 44.27 28 53.12 44.38 34.39 27.71
"comp5947_seq1" 95 227 83 178 236 236
"comp41008_seq0" 2 0 0 9 3 20
"comp833_seq0" 859 954 733 538 549 1136
"comp19873_seq0" 1 3 5 8 10 19
"comp21279_seq0" 1 0 3 0 11 2
"comp68_seq1" 67749.28 48974.55 55625.5 62525.16 50229.12 59293.59
"comp30688_seq0" 1 6 5 0 0 0
"comp24283_seq0" 19 5 0 1 2 0
"comp8889_seq2" 199.89 199.66 120.49 91.34 165.27 118.77
"comp17084_seq0" 13 6 23 9 3 16
"comp3674_seq0" 208 136 227 199 269 238
"comp27447_seq0" 2 0 0 0 0 0
"comp6390_seq0" 160.26 72.28 181.09 96.71 102.9 166.04
"comp11860_seq0" 73 18 34 99 62 40
"comp27562_seq0" 0 0 2 3 6 0
"comp22982_seq0" 19 5 4 7 28 29
"comp42879_seq0" 3 0 1 1 2 0
"comp39871_seq0" 0 2 0 0 0 0
"comp11838_seq0" 69.83 42 110.6 55.64 116 57.89
"comp25454_seq0" 13 16 16 7 9 3
"comp39148_seq0" 0 0 0 0 0 0
"comp53133_seq0" 0 0 4 0 0 0
"comp9504_seq2" 157 228 263 155 150 138
"comp3668_seq1" 172 97 113 124 117 180
"comp43154_seq0" 1 2 2 0 2 0
"comp46326_seq0" 1 0 4 0 0 0
"comp25589_seq0" 8 7 9 6 3 3
"comp16903_seq0" 0 1 0 0 4 492
"comp14250_seq1" 26.5 9.33 23.79 28.5 14.85 5.63
"comp44235_seq0" 0 0 0 0 1 0
"comp53016_seq0" 0 0 0 2 0 0
"comp916_seq2" 285.25 303.25 201.33 157.32 215.73 172.78
"comp7378_seq0" 88 22 123 76 75 202
"comp30134_seq0" 1 0 0 0 0 0
"comp39051_seq0" 0 0 0 0 0 0
"comp42059_seq0" 2 0 0 0 1 5
"comp9637_seq0" 71 91 87 47 61 134
"comp20495_seq0" 3 2 0 3 0 10
"comp2240_seq0" 149.94 88.4 203.27 185.22 163.65 226.91
"comp25090_seq0" 1 3 0 0 0 0
"comp28204_seq0" 4 2 6 4 3 1
"comp8383_seq0" 95 80 102 116 104 126
"comp20921_seq0" 3 6 6 5 12 12
"comp6099_seq1" 0 0 1.56 6.62 0 5.68
"comp24971_seq0" 1 1 0 25 15 4
"comp2792_seq0" 41 35 44 55 27 65
"comp18020_seq0" 12 24 5 7 1 7
"comp50080_seq0" 3 0 0 0 0 1
"comp55485_seq0" 0 1 0 0 3 0
"comp1985_seq3" 57.38 46.85 75.82 73.22 60.35 70.28
"comp47364_seq0" 0 0 0 0 1 17
"comp6028_seq0" 8.04 58.82 12.14 12.9 10.77 4.76
"comp53302_seq0" 0 0 0 1 0 0
"comp50599_seq0" 0 0 1 2 0 6
"comp7364_seq1" 225 126 217 183 210 168
"comp7724_seq0" 188 185 48 56 78 89
"comp22731_seq0" 4 4 2 8 4 2
"comp46523_seq0" 1 4 2 6 2 5
"comp19053_seq0" 77 1 23 0 241 75
"comp27937_seq0" 5.08 6.05 8.17 1 3.04 4.11
"comp36901_seq0" 1 7 7 6 4 6
"comp21152_seq1" 6 6 8 16 19 26
"comp10467_seq1" 28.62 42 60.75 53.14 46.82 25.4
"comp55620_seq0" 0 0 0 0 0 0
"comp51450_seq0" 1 3 3 2 2 0
"comp40970_seq0" 0 0 0 0 0 1
"comp12006_seq0" 109 67 140 89 108 215
"comp33520_seq0" 0 0 0 1 1 2
"comp17523_seq0" 0 0 0 0 1 1
"comp41774_seq0" 0 0 5 14 4 7
"comp44920_seq0" 2 1 4 2 0 0
"comp19429_seq0" 10 2 7 13 11.63 13
"comp58257_seq0" 0 0 0 1 0 0
"comp51252_seq0" 0 1 0 0 0 1
"comp30248_seq0" 5 0 3 3 1 3
"comp16364_seq0" 37 36 45 52 53 68
"comp24643_seq0" 3 5 6 16 17 12
"comp30537_seq0" 0 0 0 0 0 0
"comp21236_seq0" 1 2 2.04 5 0 2.06
"comp28615_seq0" 1 0 3 0 2 0
"comp57_seq0" 7037 2090 12493 18319 4904 3944
"comp42836_seq0" 3 0 0 0 2 1
"comp9610_seq1" 30 31 20 164 134 45
"comp12312_seq0" 84 70 86 66 93 75
"comp42423_seq0" 0 0 3 1 0 0
"comp14665_seq0" 2 2 12 6 18 7
"comp3457_seq0" 67.43 82.33 101.49 136.66 143.91 158.48
"comp15840_seq1" 9 2 8 9 9 4
"comp37521_seq0" 0 1 0 0 0 21
"comp47903_seq0" 1 2 1 0 0 2
"comp4397_seq0" 211.85 181.32 225.3 192.58 301.61 223.63
"comp39626_seq0" 0 0 0 2 5 0
"comp22792_seq0" 1 0 2 2 2 0
"comp3052_seq0" 523 324 575 595 488 654
"comp304_seq0" 201.93 235.25 920.61 181.03 283.79 176.42
"comp49898_seq0" 0 1 2 0 0 1
"comp17326_seq0" 5 6 7 7 3 4
"comp23598_seq0" 24 24 4 16 11 14
"comp48709_seq0" 0 0 0 0 0 8
"comp6918_seq0" 48 55 61 53 57 83
"comp30962_seq0" 3 4 8 1 0 1
"comp21624_seq0" 2 0 5 2 5 12
"comp40743_seq0" 0 0 3 4 2 2
"comp45375_seq0" 2 0 10 3 3 0
"comp16722_seq1" 62 31 31 40 28 107
"comp58311_seq0" 2 1 0 1 1 0
"comp7399_seq0" 79 42 82.01 71.51 83.89 98
"comp46084_seq0" 3 0 1 1 2 8
"comp34957_seq0" 0 0 0 1 0 0
"comp9149_seq0" 0 0 0 35.05 75.64 17.33
"comp31319_seq0" 1 0 0 0 4 0
"comp18081_seq2" 32 41 21 50 22 41
"comp22630_seq0" 1 2 0 5 1 3
"comp43557_seq0" 0 0 1 0 0 0
"comp55721_seq0" 0 0 3 0 0 1
"comp7768_seq0" 117 86 117 92 109 136
"comp29077_seq0" 0 0 0 2 0 6
"comp55407_seq0" 1 1 0 1 2 6
"comp22668_seq0" 0 0 5 1 4 0
"comp51094_seq0" 0 2 0 1 0 4
"comp1459_seq1" 581 461 470 523 533 633
"comp56768_seq0" 0 0 0 1 0 2
"comp116_seq0" 5600 4324.13 3811.25 4200.62 4622.86 5307.98
"comp13852_seq0" 13 1 12 0 3 1
"comp52339_seq0" 0 0 0 0 0 0
"comp1687_seq1" 755 433 1829 529 640 746
"comp1751_seq0" 61.19 10.06 37.84 17.1 393.23 357.77
"comp44499_seq0" 4 0 0 2 2 3
"comp52049_seq0" 0 0 0 0 0 1
"comp30143_seq0" 3 1 0 1 2 1
"comp20239_seq0" 11 7 3 43 59 17
"comp19990_seq0" 10 12 10 2 2 7
"comp19681_seq0" 1 0 7 1 1 0
"comp8793_seq1" 49.03 32 44 45 64.07 40
"comp12092_seq1" 42.66 29.53 59.69 66 50 89
"comp38109_seq0" 2 0 0 0 0 5
"comp56730_seq0" 3 2 0 0 0 0
"comp56473_seq0" 0 0 1 0 0 0
"comp33808_seq0" 0 1 5 6 2 12
"comp17586_seq0" 11 3 6 1 14 8
"comp12966_seq0" 7 6 11 14 24 16
"comp2382_seq1" 7.41 11.29 5.39 37.59 28.07 0
"comp47063_seq0" 0 0 0 0 0 0
"comp38455_seq0" 0 1 0 0 0 0
"comp29176_seq0" 1 0 0 0 0 1
"comp25953_seq0" 0 3 13 3 7 1
"comp5916_seq0" 36 44 31 47 48 49
"comp4241_seq0" 396.53 307.11 410.9 253.24 253.23 250.8
"comp39683_seq0" 3 1 0 1 1 3
"comp51101_seq0" 0 0 0 0 0 3
"comp10141_seq0" 69 35 41 20 82 23
"comp4786_seq3" 47.42 23.92 69.17 71.09 67.51 70.43
"comp48214_seq0" 0 0 1 0 2 0
"comp30513_seq0" 7 5 12 1 0 0
"comp1714_seq0" 481 440 474 782 317 586
"comp26867_seq0" 5 3 2 1 10 0
"comp55367_seq0" 1 0 0 0 0 0
"comp21551_seq0" 2 6 5 6 7 5
"comp19354_seq0" 6 9 3 4 4 7
"comp42486_seq0" 0 0 0 0 0 2
"comp35205_seq0" 14 0 0 3 0 2
"comp37654_seq0" 5 3 1 16 6 21
"comp3689_seq0" 218 233 271 306 344 400
"comp56692_seq0" 0 0 0 1 0 1
"comp53514_seq0" 0 0 0 0 0 0
"comp57498_seq0" 0 0 0 0 0 0
"comp12107_seq0" 69.1 32.65 87.55 119.99 61.18 88.91
"comp31174_seq0" 6 1 9 9 4 3
"comp35647_seq0" 2 1 1 2 0 2
"comp30002_seq0" 4 2 0 6 2 0
"comp17383_seq0" 20 17 19 11 18 8
"comp48687_seq0" 0 0 3 0 0 0
"comp41682_seq0" 0 0 0 0 0 0
"comp41225_seq0" 3 0 0 0 2 0
"comp33380_seq0" 0 1 1 0 3 0
"comp16404_seq0" 60 50 49 53 71 51
"comp13072_seq0" 74 83 69 58 100 58
"comp22825_seq0" 0 1 3 2 1 46
"comp37381_seq0" 1 1 1 0 1 0
"comp30316_seq0" 0 0 0 0 0 0
"comp21018_seq0" 3 1 1 6 2 8
"comp26022_seq0" 1 5 6 2 4 15
"comp53144_seq0" 0 1 0 0 2 9
"comp56631_seq0" 4.08 1 2 1 1 0
"comp2236_seq0" 169.89 81.69 609.21 134.74 363.42 146.75
"comp24188_seq0" 0 0 0 6 0 1
"comp20276_seq0" 15 6 8 13 12 11
"comp57261_seq0" 0 0 0 0 3 0
"comp31577_seq0" 0 0 0 1 0 2
"comp12504_seq0" 13.51 2 13 0 1.41 97.61
"comp40893_seq0" 0 0 2 0 0 3
"comp19780_seq0" 9 22 1 24 28 26
"comp38572_seq0" 0 0 0 0 1 0
"comp41968_seq0" 0 1 1 2 0 0
"comp5026_seq0" 3 0 5 7 3 3
"comp52376_seq0" 2 0 0 3 2 2
"comp24226_seq0" 5 4 21 7 7 5
"comp50753_seq0" 0 0 1 0 0 0
"comp19241_seq0" 16 3 1 5 12 101
"comp40734_seq0" 13 0 0 0 1 5
"comp8907_seq1" 0 3.34 67.96 0 9.79 3.08
"comp4705_seq1" 273 132 325 279 296 282
"comp53117_seq0" 0 0 0 1 0 0
"comp41930_seq0" 0 1 0 0 3 0
"comp25329_seq0" 1 0 2 7 0 2
"comp56829_seq0" 0 0 0 0 0 0
"comp47404_seq0" 1 5 2 1 5 1
"comp53462_seq0" 0 0 0 0 1 0
"comp53547_seq0" 0 0 0 0 0 0
"comp46383_seq0" 0 0 0 0 0 1
"comp15977_seq0" 17 29 39 24 23 25
"comp28719_seq0" 4 5 0 2 2 3
"comp29139_seq0" 1 3 1 7 1 0
"comp39243_seq0" 0 0 0 2 0 0
"comp18399_seq0" 7 4 12 3 10 21
"comp35614_seq0" 0 3 0 0 0 1
"comp53260_seq0" 1 0 0 0 0 0
"comp42924_seq0" 0 2 0 0 2 0
"comp6634_seq1" 212 146 220 247 245 249
"comp51393_seq0" 2 0 2 1 0 0
"comp6603_seq1" 306.02 191.47 280.83 227.88 259.2 307.27
"comp1318_seq1" 1217 1298 2244 1860 2196 1973
"comp14769_seq0" 2 3 4 1 2 1
"comp6306_seq0" 285.17 198.86 389.21 404.56 409.64 436.47
"comp12185_seq0" 2 8 5 4 11 510
"comp4614_seq0" 73.83 55.93 38.06 86.31 194.57 107.53
"comp52573_seq0" 0 0 1 0 0 1
"comp41440_seq0" 0 0 0 0 0 15
"comp48605_seq0" 9 0 0 0 0 0
"comp8348_seq0" 0 0 0 0 0 3
"comp48560_seq0" 0 0 0 0 0 0
"comp35287_seq0" 0 0 0 0 2 3
"comp539_seq0" 1462 2008 1478 2722 1888 2233
"comp41242_seq0" 5 0 0 0 0 0
"comp48247_seq0" 0 0 7 0 0 1
"comp3195_seq0" 87.7 66.47 209.93 76.98 80 123.92
"comp16289_seq1" 23 11 23 8 9 3
"comp27913_seq0" 0 12 0 0 0 0
"comp6859_seq3" 25.23 48.79 97.36 45.8 70.33 88
"comp48538_seq0" 0 0 0 0 0 2
"comp24634_seq0" 1 6 1 7 9 15
"comp12031_seq1" 56 19 16 20 14 10
"comp15790_seq1" 0 7 0 0 27.99 18.43
"comp33754_seq0" 0 0 3 1 4 5
"comp46586_seq0" 0 0 0 0 0 0
"comp36061_seq0" 0 0 5 1 1 1
"comp49748_seq0" 1 0 0 0 0 4
"comp22842_seq0" 5 2 12 1 5 2
"comp1692_seq2" 782 886 1425 596 712 676
"comp32397_seq0" 0 0 0 0 0 16
"comp26045_seq0" 2 1 10 8 9 2
"comp4651_seq0" 80 70 49 75 72 104
"comp26335_seq0" 2 2 3 0 1 0
"comp55835_seq0" 0 0 0 0 0 5
"comp1555_seq0" 120 80 35 101 93 84
"comp51596_seq0" 1 1 0 0 0 1
"comp4826_seq0" 120 110 129 131 145 162
"comp951_seq0" 287 270 376 347 342 525
"comp53922_seq0" 0 0 0 0 0 0
"comp49876_seq0" 0 0 1 0 2 0
"comp49720_seq0" 1 4 0 4 2 0
"comp58893_seq0" 0 0 0 0 0 1
"comp29293_seq0" 0 1 33 2 1 7
"comp27082_seq0" 4 1 2 10 3 6
"comp11899_seq0" 81 50 66 113 176 109
"comp46167_seq0" 0 0 0 0 0 7
"comp1849_seq1" 94.9 61.51 68.29 111.5 100.2 134.62
"comp876_seq1" 12.85 13.03 23.36 8.58 18.47 13.56
"comp36321_seq0" 1 1 0 0 3 0
"comp13063_seq2" 15 4 18 6 8 5
"comp42464_seq0" 0 1 2 4 0 0
"comp59114_seq0" 0 0 0 0 0 0
"comp58734_seq0" 0 0 0 0 0 0
"comp48753_seq0" 1 0 4 0 0 0
"comp7410_seq0" 94 246 226 78 146 109
"comp15452_seq0" 11 11 11 25 11 23
"comp16323_seq0" 39 7 2 28 26 34
"comp6865_seq0" 66 48 71 83 68 103
"comp41428_seq0" 0 0 0 0 0 0
"comp47618_seq0" 0 3 0 2 0 0
"comp46412_seq0" 0 0 1 0 0 0
"comp54958_seq0" 0 1 0 0 0 1
"comp20301_seq0" 25 18 23 14 8 9
"comp15250_seq0" 11 7 7 23 6 23
"comp57295_seq0" 0 0 0 0 0 0
"comp17564_seq0" 7 4 18 20 25 41
"comp12984_seq0" 51.97 28.86 40.65 59.31 46.16 55.21
"comp46210_seq0" 4 0 0 1 0 0
"comp52201_seq0" 0 0 1 0 0 1
"comp23373_seq0" 2 3 2 7 2 0
"comp2730_seq0" 176.98 101.18 141.38 213.89 228.1 248.88
"comp35408_seq0" 2 1 1 3 11 3
"comp6332_seq0" 52 43 48 63 83 48
"comp11207_seq0" 120 128 156 84 141 122
"comp32274_seq0" 1 0 0 0 0 0
"comp18202_seq0" 0 3 9 0 3 10
"comp50560_seq0" 0 0 0 0 0 0
"comp22393_seq1" 4.14 4.22 23.63 3.05 8.51 1
"comp29670_seq0" 0 0 1 0 0 0
"comp32892_seq0" 0 6 1 4 1 3
"comp50605_seq0" 1 1 1 0 0 0
"comp42125_seq0" 0 0 4 3 4 0
"comp8470_seq3" 28.22 33.01 25.98 20.49 35.02 15.13
"comp50538_seq0" 0 3 0 0 0 0
"comp22347_seq0" 1 5 2 0 3 0
"comp36095_seq0" 0 0 1 0 0 0
"comp20114_seq1" 0 0 5.79 0 1.17 3
"comp11645_seq0" 6 6 1 6 4 3
"comp18400_seq0" 10 5 17 15 11 31
"comp50247_seq0" 0 0 0 0 0 0
"comp38258_seq0" 1 0 0 0 0 0
"comp3847_seq0" 299 178 260 345 286 882
"comp46906_seq0" 8 0 0 0 2 0
"comp22037_seq0" 10 8 4 1 18 3
"comp25069_seq0" 3 0 0 3 8 15
"comp39757_seq0" 0 0 0 7 4 5
"comp20544_seq1" 19 14 8 8 11 12
"comp54619_seq0" 2 0 0 0 0 0
"comp11154_seq1" 31.06 22.56 37.22 61.91 61.18 41.41
"comp49056_seq0" 0 0 0 0 0 2
"comp47959_seq0" 0 0 0 0 7 3
"comp16526_seq0" 27 11 18 19 7 9
"comp23576_seq0" 4 5 10 24 11 35
"comp5356_seq0" 1 2 2 1 4 0
"comp9982_seq0" 51 40 53 3 31 29
"comp5653_seq1" 194.15 337.88 197.37 535.82 529.54 1184.75
"comp21663_seq0" 0 0 2 0 0 2
"comp49839_seq0" 2 0 3 0 4 2
"comp26362_seq0" 2 0 3 2 5 2
"comp15575_seq0" 17 5 41 14 17 17
"comp32831_seq0" 1 9 0 1 0 0
"comp3566_seq0" 200 197 296 159 241 308
"comp55862_seq0" 0 1 0 0 0 0
"comp20517_seq1" 2.29 13.02 7.51 11.04 0 32.05
"comp55183_seq0" 0 0 0 5 0 2
"comp53945_seq0" 0 0 0 0 0 0
"comp43718_seq0" 0 0 0 0 3 0
"comp47526_seq0" 0 0 0 4 5 1
"comp16959_seq0" 10 8 8 12 19 8
"comp45919_seq0" 1 1 1 0 0 0
"comp8465_seq0" 99 106 68 59 77 77
"comp234_seq3" 439.31 422.84 215.85 113.08 127.17 39.44
"comp42003_seq0" 0 0 1 0 5 0
"comp49621_seq0" 0 0 0 0 0 0
"comp32629_seq0" 1 0 0 9 0 0
"comp4876_seq1" 139 96 207 130 211 196
"comp260_seq0" 273.3 162.7 181.32 125.27 167.33 88.57
"comp17906_seq0" 5 6 1 5 5 4
"comp19009_seq0" 10 36 6 21 65 17
"comp20193_seq0" 0 1 8 2 5 0
"comp31975_seq0" 1 2 5 0 1 0
"comp44888_seq0" 0 0 0 2 0 1
"comp4439_seq1" 274 225 368 368 263 400
"comp12794_seq0" 2 1 4 0 0 0
"comp22314_seq0" 5.77 7.23 0 1.4 5.71 4.66
"comp837_seq1" 1072.28 1001.07 1004.91 1593.91 1262.91 1718.49
"comp6988_seq2" 42.39 26.33 44.32 83.38 105.52 93.03
"comp2120_seq3" 380.07 360.66 251.2 307.2 223.97 210.67
"comp50214_seq0" 2 0 0 0 0 0
"comp13357_seq0" 45 111 73 45 58 63
"comp12833_seq0" 1 6 11 4 5 3
"comp2165_seq1" 435.92 371.47 600.98 226.97 376.7 255.16
"comp42142_seq0" 1 3 1 1 1 0
"comp14840_seq0" 9 7 8 19 33 4
"comp55027_seq0" 1 1 1 0 1 3
"comp46564_seq0" 0 0 0 0 0 0
"comp15500_seq1" 34 45 53 14 49 14
"comp33213_seq0" 0 0 5 0 0 0
"comp10746_seq0" 44 49 57 97 114 162.32
"comp15336_seq2" 26 5 50 30 24 44
"comp17412_seq0" 14 12 12 21 10 12
"comp51706_seq0" 0 0 0 0 0 0
"comp11285_seq0" 10 8 19 17 10 12
"comp16618_seq0" 1 0 2 10 2 8
"comp2717_seq1" 167.02 132.23 213.69 158.96 180.73 235.93
"comp6286_seq1" 71.43 132.91 138.34 77.3 131.74 74.75
"comp13774_seq1" 0 7.63 1.27 1.9 2.17 0
"comp50687_seq0" 0 1 1 0 0 3
"comp47323_seq0" 0 0 0 0 0 0
"comp18627_seq0" 12 2 6 5 7 1
"comp29771_seq0" 11 30 12 0 4 1
"comp53435_seq0" 0 0 0 0 0 0
"comp45658_seq0" 0 0 2 1 0 0
"comp9757_seq0" 14 18 29 19 7 12
"comp44300_seq0" 2 0 0 1 2 0
"comp2684_seq0" 86 120 87 80 98 107
"comp8588_seq0" 38 27 43 20 29 56
"comp57889_seq0" 0 0 0 0 0 0
"comp5534_seq0" 101 65 77 67 92 87
"comp17167_seq0" 3 5 5 9 12 24
"comp19288_seq2" 3 1 0 4.62 3 2
"comp7573_seq0" 4 22.57 19.55 18.56 10.75 13.3
"comp25697_seq0" 5 20 7 31 22 22
"comp42512_seq0" 0 0 0 1 0 0
"comp13211_seq0" 35 37 44 55 115 69
"comp59147_seq0" 0 0 0 0 1 0
"comp1061_seq1" 1022 863 1192 1228 1284 1389
"comp5294_seq1" 147.26 97.31 188.94 122.73 100.09 146.31
"comp23539_seq0" 1 13 16 10 7 22
"comp22179_seq0" 0 0 0 0 0 0
"comp14691_seq0" 28 45 40 15 34 49
"comp14980_seq0" 32 36 27 46 67 97
"comp47583_seq0" 0 0 0 0 0 0
"comp42963_seq0" 0 0 0 0 0 0
"comp58970_seq0" 0 0 0 0 0 0
"comp919_seq1" 1211 1021 1539 2216 1670 2350
"comp23854_seq0" 1 0 0 1 5 344
"comp55126_seq0" 0 0 0 3 3 3
"comp49489_seq0" 1 1 0 4 11 3
"comp32481_seq0" 1 1 0 0 3 0
"comp40257_seq0" 3 0 2 0 3 1
"comp12817_seq0" 9 12 6 25 19 176
"comp55288_seq0" 1 0 0 0 0 0
"comp7058_seq1" 9.07 38.56 11.48 7.67 25.5 16.26
"comp32742_seq0" 1 0 0 0 2 0
"comp44460_seq0" 0 0 0 0 0 0
"comp29352_seq0" 0 0 0 2 0 0
"comp59046_seq0" 0 1 0 0 0 0
"comp8594_seq0" 195 115 49 154 171 134
"comp6711_seq1" 226 115 234 351 267 284
"comp57949_seq0" 0 0 0 1 0 0
"comp734_seq1" 53.31 102.7 257.64 29.31 97.48 72.92
"comp44262_seq0" 0 0 0 3 0 3
"comp20298_seq0" 3 1 4 1 0 1
"comp44438_seq0" 0 0 0 0 0 9
"comp26916_seq0" 2 2 1 8 1 1
"comp52398_seq0" 0 0 0 0 0 0
"comp17066_seq0" 8 8 8 4 14 33
"comp8234_seq1" 23.91 42.02 20.67 4.61 7.02 19.37
"comp19969_seq0" 3 7 6 5 0 0
"comp34693_seq0" 6 7 1 5 3 2
"comp50709_seq0" 0 0 0 0 0 0
"comp53885_seq0" 0 0 0 1 0 0
"comp726_seq0" 2082 975 1610 1364 1253 1877
"comp3322_seq0" 84 91 73 64 73 86
"comp3762_seq1" 45.99 52.6 91.63 97.77 131.82 107.31
"comp51578_seq0" 0 0 0 0 0 0
"comp47386_seq0" 2 0 1 2 0 0
"comp27608_seq0" 6 3 1 0 0 0
"comp26402_seq0" 0 1 1 0 1 3
"comp33118_seq0" 4 2 2 5 4 10
"comp40311_seq0" 0 0 0 6 0 0
"comp27535_seq0" 4 2 1 1 11 10
"comp4731_seq0" 211.02 123.35 247.93 211.3 245.64 309.1
"comp11749_seq0" 74.07 30.4 25.52 182.47 43.3 1192.3
"comp58743_seq0" 0 0 0 0 0 0
"comp26200_seq0" 0 0 0 2 1 3
"comp38819_seq0" 0 0 0 0 0 0
"comp51811_seq0" 0 0 2 0 1 0
"comp33548_seq0" 3 8.09 5 2 5 0
"comp54715_seq0" 0 0 0 0 0 0
"comp30422_seq0" 3 1 0 0 3 1
"comp1424_seq7" 139.4 82.91 218.44 284.46 206.55 295.58
"comp16024_seq0" 14 7 6 20 16 11
"comp34472_seq0" 1 0 1 1 1 1
"comp44948_seq0" 0 0 0 0 0 0
"comp49554_seq0" 6 0 1 0 0 3
"comp33237_seq0" 2 8 5 6 0 0
"comp1420_seq0" 130 48 44 96 177 90
"comp23074_seq0" 5 1 1 2 0 0
"comp30220_seq0" 3 5 2 0 0 0
"comp57439_seq0" 0 0 1 0 0 0
"comp8543_seq0" 43.23 100 146.41 0 141.85 32.51
"comp34270_seq0" 4 0 11 2 14 1
"comp18048_seq0" 0 1 4 3 3 0
"comp52152_seq0" 0 5 0 0 0 0
"comp37497_seq0" 0 0 0 0 0 0
"comp24310_seq0" 0 0 2 0 0 1
"comp22136_seq0" 5 5 21 9 8 10
"comp18338_seq0" 5 9 3 12 16 3
"comp32725_seq0" 0 0 0 0 2 0
"comp1630_seq2" 271.1 126.91 277.78 284.02 236.43 339
"comp29198_seq0" 2 11 4 0 3 2
"comp47024_seq0" 0 1 0 0 0 2
"comp22502_seq0" 0 0 0 3 2 0
"comp14790_seq0" 70 39 34 9 22 10
"comp6358_seq0" 211 182 181 191 247 250
"comp18360_seq0" 12 19 0 0 0 0
"comp7662_seq0" 186 102 156 119 144 155
"comp10896_seq0" 22 37 43 61 64 71
"comp55648_seq0" 1 0 0 0 1 2
"comp53299_seq0" 0 2 5 0 0 1
"comp17782_seq1" 34 30 16 25 47 55
"comp1631_seq0" 199 208 178 223 236 245
"comp16386_seq0" 28 55 48 36 68 43
"comp30935_seq0" 1 1 1 4 4 3
"comp49157_seq0" 0 0 0 0 0 2
"comp38153_seq0" 0 1 0 2 4 1
"comp46066_seq0" 0 0 2 1 1 0
"comp36581_seq0" 0 0 0 1 0 0
"comp43955_seq0" 0 3 2 0 0 0
"comp14632_seq0" 19 22 37 24 24 33
"comp36767_seq0" 0 0 7 2 0 0
"comp34555_seq0" 0 0 0 3 0 2
"comp1470_seq1" 155.45 127.92 187.42 197.87 172.49 231.22
"comp53807_seq0" 0 0 1 0 0 2
"comp42304_seq0" 1 0 1 0 0 1
"comp39120_seq0" 5 0 1 5 1 5
"comp6515_seq1" 249.11 220.76 274.39 239.27 265.55 272.04
"comp48599_seq0" 0 0 1 0 0 0
"comp35330_seq0" 4 2 0 1 1 7
"comp30445_seq0" 2 1 0 0 3 2
"comp23708_seq0" 0 2 2 2 6 3
"comp35040_seq0" 0 1 0 0 0 12
"comp3372_seq1" 180.02 107.31 19.39 32.45 130.56 143.71
"comp48080_seq0" 4 0 1 3 1 1
"comp2746_seq0" 458 346 370 439 349 392
"comp35368_seq0" 1 0 0 2 0 0
"comp16583_seq0" 0 0 0 2 2 5
"comp12844_seq0" 0 0 4.04 1.66 10.27 0
"comp17931_seq1" 6.34 9.85 14.61 10.53 11.69 5.17
"comp22013_seq0" 0 1 13 14 8 19
"comp18151_seq0" 3 3 3 0 0 2
"comp56175_seq0" 0 0 0 0 0 0
"comp57476_seq0" 0 0 0 0 0 0
"comp25909_seq0" 0 0 0 0 0 0
"comp20461_seq0" 2 1 1 3 1 6
"comp43588_seq0" 2 0 0 3 0 1
"comp40721_seq0" 0 0 2 1 1 0
"comp34988_seq0" 2 0 4 0 0 15
"comp41875_seq0" 1 0 0 0 0 1
"comp44771_seq0" 0 0 0 0 0 0
"comp56624_seq0" 0 0 3 0 0 0
"comp8041_seq1" 36.94 0 0 0 15.53 5.29
"comp8843_seq0" 17 13 4 14 13 12
"comp40407_seq0" 1 2 4 0 2 0
"comp26094_seq0" 4 2 13 14 5 5
"comp181_seq2" 11646.15 9496 8514.45 9464.21 9341.14 10909.88
"comp37036_seq0" 0 0 3 1 5 0
"comp39939_seq0" 3 0 0 1 0 0
"comp42931_seq0" 3 1 0 0 0 0
"comp127_seq0" 5906.74 5707.99 9500.65 4142.61 4993.39 2496.88
"comp47737_seq0" 0 0 0 0 4 0
"comp54325_seq0" 0 0 0 0 0 1
"comp18828_seq1" 0 0 0 0 3 1
"comp22275_seq0" 2 6 4 2 5 3
"comp35819_seq0" 8 0 7 6 2 8
"comp50375_seq0" 0 0 4 0 0 5
"comp29300_seq0" 2 3 0 9 3 0
"comp55743_seq0" 0 0 0 0 0 0
"comp56236_seq0" 0 0 0 0 0 0
"comp2391_seq4" 322.13 374.17 350.5 187.14 205.52 283.29
"comp20671_seq0" 9 12 9 2 2 9
"comp57666_seq0" 0 0 0 0 0 0
"comp26252_seq0" 2 1 0 0 3 1
"comp23603_seq0" 0 0 3 14 3 6
