"SFM1H" "SFM2H" "SFM3H" "MEL1H" "MEL2H" "MEL3H"
"comp14856_seq0" 21 12 43 18 27 29
"comp11954_seq0" 81 37 89 90 95 183
"comp20914_seq0" 11 15 7 13 33 121
"comp37547_seq0" 0 2 3 1 3 6
"comp21710_seq0" 4 16 1 1 1 2
"comp37462_seq0" 0 0 10 0 0 0
"comp37238_seq0" 0 0 0 0 3 2
"comp35554_seq0" 1 0 0 2 5 2
"comp13263_seq0" 4.81 19.46 29.27 21.66 14.65 22.51
"comp11390_seq0" 54.24 140.46 61.67 45.71 63.89 100.33
"comp27785_seq0" 0 2 4 12 0 5
"comp37260_seq0" 1 7 10.04 0 0 2.05
"comp13089_seq1" 10 21 7 23 25 20
"comp36630_seq0" 0 1 0 6 0 2
"comp26481_seq0" 0 1 0 5 1 4
"comp26742_seq0" 5 5 4 4 5 0
"comp10563_seq0" 124 53 74 129 138 112
"comp24455_seq0" 4 0 6 0 1 3
"comp26607_seq2" 1 0 0 0 0 0
"comp50449_seq0" 0 0 1 1 0 0
"comp43010_seq0" 4 0 0 3 1 0
"comp58403_seq0" 1 0 1 2 1 0
"comp20115_seq0" 7 8 21 11 13 8
"comp36179_seq0" 0 0 0 0 1 0
"comp11155_seq0" 9 6 4 12 7 4
"comp35898_seq0" 4 13 3 6 9 6
"comp47011_seq0" 0 2 0 0 1 2
"comp32916_seq0" 0 1 3 0 0 0
"comp45626_seq0" 2 0 0 0 1 0
"comp54559_seq0" 0 0 0 0 0 0
"comp4001_seq0" 113.73 110.36 47.65 84.62 96.21 161.26
"comp20545_seq0" 0 10 4 1 5 0
"comp30787_seq0" 0 1 0 2 2 0
"comp3756_seq0" 300 266 362 312 228 350
"comp3298_seq0" 273 151 239 350 416.9 394.86
"comp17675_seq0" 0 1 4 4 0 0
"comp24109_seq0" 2 5 4 3 13 11
"comp40086_seq0" 0 0 0 0 0 0
"comp30561_seq0" 5 1 5 0 3 3
"comp31606_seq0" 0 6 0 0 0 0
"comp7414_seq5" 10.78 13.03 6.67 27.46 25.9 5.19
"comp7246_seq1" 144 163 218 177 208 199
"comp27597_seq0" 5 9 0 4 17 9
"comp9408_seq0" 7 8 9 0 6 6
"comp37922_seq0" 0 0 0 0 2 0
"comp32200_seq0" 4 0 0 0 0 7
"comp14623_seq1" 35 15 100 7 28 13
"comp1227_seq0" 560.96 497.95 408.93 736.77 537.84 968.46
"comp12458_seq0" 31 43 28.63 32.98 32 37
"comp29604_seq0" 8 4 8 0 4 0
"comp18890_seq0" 1 0 1 0 2 0
"comp39375_seq0" 0 0 0 0 0 2
"comp8192_seq3" 0 0 0 0 0 0
"comp6814_seq0" 167 145 194 136 203 203
"comp32402_seq0" 0 0 1 0 0 0
"comp18474_seq0" 26 34 10.41 35 32 72.82
"comp50939_seq0" 0 0 0 0 0 0
"comp9567_seq0" 138.02 94.38 53.65 103.58 139.26 182.63
"comp54484_seq0" 1 1 0 2 1 1
"comp25820_seq0" 0 0 0 0 0 9
"comp56320_seq0" 0 0 2 0 2 0
"comp6851_seq0" 42 15 65 28.76 55.98 49
"comp25776_seq0" 5 0 0 2 3 7
"comp47558_seq0" 0 0 0 0 1 0
"comp5576_seq0" 66.67 32.22 89.13 77.84 44.52 62.77
"comp480_seq2" 3452.16 2752.81 3773.58 5017.57 2419.39 4327.93
"comp21534_seq2" 0 0 0 0 0 0
"comp55253_seq0" 2 0 0 0 1 1
"comp45234_seq0" 3 0 0 0 0 0
"comp52729_seq0" 0 0 0 3 0 0
"comp33295_seq0" 1 0 1 0 0 0
"comp7506_seq0" 62.39 54.6 20.48 7.51 36.35 13.96
"comp9154_seq0" 131 77 117 81 115 76
"comp34719_seq0" 1 6 7 2 0 1
"comp2151_seq1" 25 6.26 58.58 34.8 75.04 29.87
"comp54843_seq0" 2 5 1 0 0 0
"comp57213_seq0" 0 1 0 2 0 3
"comp36502_seq0" 1 0 0 4 0 3
"comp26725_seq0" 0 1 3 5 1 12
"comp15664_seq0" 1 4 2 0 4 5
"comp9846_seq0" 17 3 11 11 4 24
"comp37435_seq0" 6 0 3 4 4 6
"comp36136_seq0" 1 0 1 0 6 0
"comp13775_seq0" 15 0 0 6 4 3
"comp58064_seq0" 0 1 0 0 0 0
"comp49028_seq0" 1 0 0 0 0 0
"comp16558_seq0" 8 4 1 10 11 18
"comp27194_seq0" 0 0 0 0 0 0
"comp11284_seq1" 48 13 28 80 83 115
"comp45518_seq0" 1 1 0 0 0 0
"comp20522_seq0" 13 23 1 19 13 37
"comp33889_seq0" 0 0 1 0 2 0
"comp30705_seq0" 2 1 4 0 0 0
"comp38226_seq0" 0 0 0 0 0 1
"comp23448_seq0" 0 4 0 9 0 0
"comp30997_seq0" 4 0 0 1 2 2
"comp8895_seq1" 6.58 0 5.04 9.28 17.21 26.69
"comp45148_seq0" 0 0 0 0 1 2
"comp24572_seq0" 3 2 3 2 2 3
"comp12166_seq1" 46 35 33 49.36 39.25 63
"comp38188_seq0" 0 4 0 0 0 0
"comp1759_seq3" 0 0 0 0 0 0
"comp45871_seq0" 1 3 0 5 2 0
"comp2114_seq1" 158 154 11 188 84 157
"comp9111_seq0" 7 11 3 10 3 0
"comp42652_seq0" 0 0 3 3 0 0
"comp29215_seq0" 0 3 0 0 0 6
"comp58815_seq0" 0 0 0 0 0 0
"comp1055_seq1" 1248 1323 1228 1527 1241 1703
"comp15180_seq0" 75.91 77.23 69.55 77 136.29 55.64
"comp46675_seq0" 6 2 0 4 0 3
"comp37945_seq0" 0 0 0 2 1 0
"comp2096_seq0" 695.11 296.28 944.1 885.14 935.78 609.87
"comp54926_seq0" 0 1 0 1 1 0
"comp51824_seq0" 2 0 0 2 1 1
"comp45051_seq0" 0 2 0 2 0 2
"comp22767_seq0" 10 47 21.43 25 25 20
"comp16011_seq0" 51 37 26 51 31 64
"comp8451_seq0" 2 3 231 71 35 40
"comp41456_seq0" 0 2 4 2 3 0
"comp50976_seq0" 0 0 0 0 0 0
"comp27961_seq0" 0 0 0 3 2 1
"comp22581_seq0" 10.28 15.45 14.13 10.73 6.32 5.02
"comp12907_seq1" 1.12 6.22 5.81 13.94 2.31 2.25
"comp36013_seq0" 3 1 1 0 0 0
"comp34876_seq1" 0 0 3 0 0 0
"comp40324_seq0" 1 0 0 8 4 0
"comp7353_seq0" 196 134 291 281 235 228
"comp52868_seq0" 0 0 0 6 1 3
"comp17701_seq1" 8 8 7 15 3 11
"comp20349_seq2" 7 18 6 53 48 22
"comp44374_seq0" 0 0 0 0 9 0
"comp23960_seq0" 0 4 10 3 15 0
"comp38634_seq0" 0 0 0 0 0 0
"comp23938_seq0" 10 5 0 3 24 18
"comp22315_seq1" 20 18 8 3 9 12
"comp52830_seq0" 0 0 0 2 0 0
"comp54271_seq0" 0 0 0 2 2 0
"comp22321_seq0" 24 12 11 24 34 48
"comp5722_seq0" 29 56 25 174 162 229
"comp5362_seq1" 172 180 145 255 236 265
"comp6239_seq1" 39.17 74.88 80.93 91.2 68.74 88.1
"comp18281_seq0" 30 18 48 24 50 40
"comp50221_seq0" 0 1 1 2 0 0
"comp58904_seq0" 0 0 0 0 1 0
"comp37885_seq0" 0 2 8 5 0 1
"comp13636_seq0" 17 10 13 5 3 3
"comp7217_seq0" 873 175 91 593 66 192
"comp8226_seq0" 65 29 66 94 102 68
"comp31810_seq0" 2 3 2 6 4 0
"comp18740_seq0" 9 2 17 3 1 1
"comp57118_seq0" 0 0 0 0 0 0
"comp363_seq4" 472.69 435.29 391.61 449.98 857.78 477.99
"comp6599_seq0" 5 7 8 1 0 13
"comp57237_seq0" 1 0 0 2 2 0
"comp56667_seq0" 0 0 3 0 1 0
"comp57548_seq0" 1 0 0 0 0 0
"comp19530_seq0" 70 28 44 63 58 54
"comp6528_seq1" 140.76 124.91 117.17 82.23 169.13 171.98
"comp49614_seq0" 7 1 3 0 0 0
"comp45243_seq0" 1 0 0 0 1 0
"comp2309_seq1" 364.93 241.29 409.99 244.96 271.5 259.57
"comp38283_seq0" 0 0 0 0 0 45
"comp17779_seq0" 55.53 15 20.7 20.2 28.74 23.46
"comp40584_seq0" 6 0 8 3 5 11
"comp33439_seq0" 10 0 2 1 0 4
"comp9830_seq0" 35.52 27.43 45.57 88.99 67 135.88
"comp54983_seq0" 0 0 0 0 0 0
"comp36037_seq0" 0 0 0 0 0 3
"comp8999_seq2" 135 96 92 115 81 167
"comp13224_seq0" 13 19 23 10 20 15
"comp27001_seq0" 4 6 0 3 5 8
"comp18973_seq0" 0 5 9 5 10 4
"comp22095_seq0" 5 28 0 4 3 4
"comp36347_seq0" 0 0 2 0 4 0
"comp2000_seq0" 116 76 51 132 82 89
"comp49287_seq0" 2 0 4 1 1 2
"comp46736_seq0" 2 0 0 0 0 0
"comp15349_seq1" 0 16 0 15 6 47
"comp51979_seq0" 0 0 0 2 0 0
"comp40459_seq0" 2 0 2 0 0 2
"comp26892_seq0" 3 3 10 11 5 6
"comp55392_seq0" 0 0 0 1 1 3
"comp44119_seq0" 1 3 0 1 0 1
"comp26274_seq0" 0 1 2 2 9 1
"comp33949_seq0" 1 0 7 5 2 0
"comp3602_seq0" 138 129 285 70 226 141
"comp52480_seq0" 1 0 0 0 8 3
"comp44549_seq0" 0 0 0 0 0 0
"comp1424_seq5" 10.86 7.68 34.16 4.46 14.28 1.3
